Table 17.4. Total above-ground biomass (million tonnes) on forest land by forest type, age class and managed forest region in Canada. 
Managed forests,Forest type,1-20,21-40,41-60,61-80,81-100,101-120,121-140,141-160,161-180,181-200,201+,Other,Total
0,Non-treed,0.000,0.001,0.001,0.000,None,None,None,None,None,None,None,0.261,0.264
0,Treed Mixedwood,0.062,1.226,3.999,8.044,20.192,0.108,0.306,0.022,None,None,0.015,None,33.975
0,Treed Coniferous,0.046,1.227,4.971,9.392,8.707,4.161,5.703,1.424,1.640,0.388,16.021,None,53.679
0,Treed Broadleaf,0.144,3.739,4.271,8.032,1.981,38.820,0.001,None,None,None,0.000,None,56.989
0,Subtotal,0.252,6.193,13.242,25.469,30.879,43.089,6.010,1.447,1.640,0.388,16.035,0.261,144.907
11,Non-treed,0.949,1.201,1.867,12.754,7.267,12.001,2.377,0.121,0.155,0.104,0.059,40.499,79.354
11,Treed Broadleaf,66.365,140.317,295.624,641.879,588.546,257.831,122.925,46.137,7.795,2.795,5.646,None,2175.862
11,Treed Mixedwood,85.234,218.835,361.809,534.095,538.659,251.825,175.048,78.771,24.374,11.530,10.166,None,2290.344
11,Treed Coniferous,121.731,436.834,799.942,1261.171,1430.251,1031.605,1227.369,703.064,417.049,222.467,2222.874,None,9874.356
11,Subtotal,274.279,797.187,1459.242,2449.899,2564.723,1553.261,1527.718,828.093,449.372,236.896,2238.744,40.499,14419.916
12,Non-treed,0.057,0.009,0.166,0.064,0.127,0.001,None,None,None,None,None,9.263,9.687
12,Treed Mixedwood,5.330,16.055,30.951,60.138,35.601,21.706,11.272,7.750,0.522,0.017,0.590,None,189.933
12,Treed Broadleaf,5.968,16.275,39.001,82.279,41.081,11.076,3.987,3.549,0.421,0.313,0.507,None,204.456
12,Treed Coniferous,10.721,92.438,97.662,173.625,174.776,107.240,67.303,43.140,17.463,8.673,79.509,None,872.549
12,Subtotal,22.076,124.778,167.779,316.106,251.584,140.023,82.562,54.438,18.407,9.003,80.605,9.263,1276.624
13,Non-treed,0.105,0.488,4.655,2.786,7.707,5.715,0.198,0.119,None,None,None,23.950,45.723
13,Treed Broadleaf,6.937,20.070,22.555,32.983,116.363,33.983,1.466,0.351,None,0.961,None,None,235.669
13,Treed Mixedwood,8.619,21.397,28.677,86.420,151.696,202.262,59.966,6.474,0.329,1.467,0.405,None,567.712
13,Treed Coniferous,23.252,159.317,338.648,395.099,661.825,2142.284,1245.218,662.551,25.509,5.591,36.279,None,5695.573
13,Subtotal,38.913,201.271,394.536,517.288,937.591,2384.245,1306.848,669.495,25.838,8.019,36.684,23.950,6544.677
20,Non-treed,0.058,0.015,0.001,None,0.099,0.060,0.009,None,None,None,None,4.319,4.562
20,Treed Broadleaf,4.972,32.768,87.584,127.095,104.978,30.736,7.879,1.731,0.194,0.829,0.584,None,399.351
20,Treed Mixedwood,6.078,32.243,74.116,107.964,102.394,60.105,24.000,12.747,2.617,0.704,5.242,None,428.209
20,Treed Coniferous,10.736,79.593,157.299,324.858,335.171,474.427,383.208,190.167,113.653,59.735,719.145,None,2847.992
20,Subtotal,21.845,144.618,319.000,559.918,542.642,565.328,415.095,204.645,116.464,61.268,724.971,4.319,3680.113
31,Non-treed,None,None,None,None,None,None,None,None,None,None,None,0.096,0.096
31,Treed Mixedwood,0.175,1.626,0.899,6.007,1.313,2.875,0.369,0.046,0.051,None,None,None,13.362
31,Treed Broadleaf,1.828,2.837,4.990,11.276,5.062,2.770,0.619,None,None,None,None,None,29.382
31,Treed Coniferous,0.272,8.976,6.360,11.677,8.457,5.743,3.827,15.507,2.832,0.106,2.120,None,65.879
31,Subtotal,2.276,13.439,12.250,28.960,14.832,11.388,4.816,15.553,2.884,0.106,2.120,0.096,108.719
